Date/Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/12/2006/17:24:00,3.388,0.158,233.22,14.4,0,1,17
16/12/2006/17:25:00,1.222,0.046,241.58,6.6,0,0,0
16/12/2006/17:26:00,0.612,0,243.68,4,0,0,0
16/12/2006/17:27:00,3.226,0.078,233.37,13.8,0,0,16
16/12/2006/17:28:00,5.268,0.398,232.91,22.6,0,2,17
16/12/2006/17:29:00,3.334,0,234.36,14.2,0,2,17
16/12/2006/17:30:00,4.87,0,233.74,20.8,0,1,17
16/12/2006/17:31:00,3.262,0.076,234.54,13.8,0,0,17
16/12/2006/17:32:00,2.376,0.056,241.86,9.8,0,0,0
16/12/2006/17:33:00,0.276,0,240.56,1.2,0,0,0
16/12/2006/17:34:00,2.332,0.06,239.45,9.6,0,0,0
16/12/2006/17:35:00,4.472,0,233.29,19.2,0,1,16
16/12/2006/17:36:00,3.758,0.076,234.17,16.4,0,0,17
16/12/2006/17:37:00,0.93,0,242.94,5.6,0,0,0
16/12/2006/17:38:00,2.974,0.194,239.97,12.4,0,1,0
16/12/2006/17:39:00,0.388,0.104,242.58,1.6,0,0,0
16/12/2006/17:40:00,3.406,0.158,233.26,14.6,0,1,17
16/12/2006/17:41:00,3.044,0.072,236.23,13.2,0,0,17
16/12/2006/17:42:00,1.388,0.086,240.87,7.2,0,0,0
16/12/2006/17:43:00,3.13,0.13,239.82,14.6,0,26,0
16/12/2006/17:44:00,1.766,0.058,237.7,8.2,0,0,18
16/12/2006/17:45:00,3.406,0,233.91,14.4,0,2,17
16/12/2006/17:46:00,4.216,0.418,234.84,18.4,0,1,17
16/12/2006/17:47:00,4.598,0.1,234.25,21.4,0,20,17
16/12/2006/17:48:00,2.48,0.078,241.86,10.2,0,0,0
16/12/2006/17:49:00,3.482,0.17,236.4,14.6,0,1,17
16/12/2006/17:50:00,3.376,0.05,234.63,14.4,0,0,17
16/12/2006/17:51:00,2.444,0.094,239.42,10.2,0,0,0
16/12/2006/17:52:00,4.432,0,239.35,18.4,0,36,0
16/12/2006/17:53:00,2.542,0.068,238.17,11.4,0,0,18
16/12/2006/17:54:00,1.658,0.166,238.48,8,0,1,0
16/12/2006/17:55:00,2.496,0.08,233.92,10.6,0,3,17
16/12/2006/17:56:00,2.978,0.166,234.81,13.2,0,1,17
16/12/2006/17:57:00,0.952,0.062,241.5,5.6,0,0,0
16/12/2006/17:58:00,2.33,0.06,239.74,9.6,0,0,0
16/12/2006/17:59:00,1.846,0.054,239.99,8.4,0,0,0
16/12/2006/18:00:00,3.484,0.17,235.98,14.6,0,2,17
16/12/2006/18:01:00,3.464,0.17,236.03,14.6,0,1,17
16/12/2006/18:02:00,2.342,0.06,240.21,9.6,0,0,0
16/12/2006/18:03:00,4.512,0,233.62,19.2,0,0,17
16/12/2006/18:04:00,2.398,0,240.7,9.8,0,0,0
16/12/2006/18:05:00,2.202,0.074,240.07,9.6,0,0,0
16/12/2006/18:06:00,5.174,0,234.19,22,0,0,17
16/12/2006/18:07:00,3.112,0,236.08,13.4,0,1,17
16/12/2006/18:08:00,2.502,0.136,240.24,10.4,0,0,0
16/12/2006/18:09:00,3.48,0.17,236.46,14.6,0,2,17
16/12/2006/18:10:00,3.38,0.156,232.81,14.4,0,1,17
16/12/2006/18:11:00,3.434,0.09,232.01,14.8,0,1,16
16/12/2006/18:12:00,2.526,0.278,236.95,10.6,0,1,0
16/12/2006/18:13:00,1.756,0.05,241.18,7.6,0,24,0
16/12/2006/18:14:00,3.282,0,232.52,14,0,0,17
16/12/2006/18:15:00,3.302,0,232.69,14.2,0,0,16
16/12/2006/18:16:00,2.36,0.064,236.89,10.8,0,0,18
16/12/2006/18:17:00,1.872,0,238.48,8.6,0,0,18
16/12/2006/18:18:00,2.928,0,235.25,12.4,0,1,17
16/12/2006/18:19:00,2.396,0.056,239.03,10,0,1,0
16/12/2006/18:20:00,7.026,0,232.21,30.6,0,0,16
16/12/2006/18:21:00,3.178,0,235.28,13.4,0,0,17
16/12/2006/18:22:00,3.342,0.07,237.66,14,0,0,17
16/12/2006/18:23:00,2.454,0.074,240.76,10.2,0,0,0
16/12/2006/18:24:00,2.308,0.16,237.43,9.6,0,1,17
16/12/2006/18:25:00,3.414,0,234.19,14.4,0,1,17
16/12/2006/18:26:00,1.53,0.084,240.72,7.6,0,0,0
16/12/2006/18:27:00,3.502,0.172,236.46,14.8,0,1,18
16/12/2006/18:28:00,3.23,0.052,232.79,13.8,0,0,16
16/12/2006/18:29:00,3.84,0.164,238.27,16.6,0,35,0
16/12/2006/18:30:00,0.79,0.178,239.47,4.6,0,1,0
16/12/2006/18:31:00,0.422,0.184,239.79,1.8,0,2,0
16/12/2006/18:32:00,3.196,0.08,232.21,13.6,0,0,17
16/12/2006/18:33:00,2.37,0.058,241.48,9.8,0,0,0
16/12/2006/18:34:00,2.926,0,235.68,12.4,0,1,17
16/12/2006/18:35:00,3.476,0.092,234.6,14.8,0,3,17
16/12/2006/18:36:00,3.424,0.046,237.75,14.4,0,1,17
16/12/2006/18:37:00,3.202,0.078,232.2,13.8,0,0,16
16/12/2006/18:38:00,4.5,0,239.04,18.8,0,36,0
16/12/2006/18:39:00,5.224,0.478,232.99,22.4,0,1,16
16/12/2006/18:40:00,4.582,0.258,238.08,19.6,0,13,0
16/12/2006/18:41:00,2.354,0.058,240.64,9.8,0,0,0
16/12/2006/18:42:00,2.368,0.056,241.4,9.8,0,0,0
16/12/2006/18:43:00,6.474,0.144,231.85,27.8,0,37,16
16/12/2006/18:44:00,2.81,0,237.97,12.4,0,0,18
16/12/2006/18:45:00,6.072,0,232.48,26.4,0,27,17
16/12/2006/18:46:00,4.636,0.14,237.37,19.4,0,36,0
16/12/2006/18:47:00,3.44,0.148,235.13,14.6,0,0,17
16/12/2006/18:48:00,2.362,0.096,241.35,10.4,0,28,0
16/12/2006/18:49:00,3.74,0.108,236.93,16.4,0,16,18
16/12/2006/18:50:00,4.634,0.152,237.17,19.4,0,35,0
16/12/2006/18:51:00,2.43,0.07,239.77,10,0,0,0
16/12/2006/18:52:00,4.5,0,240.42,18.6,0,36,0
16/12/2006/18:53:00,3.376,0.156,232.84,14.4,0,1,17
16/12/2006/18:54:00,3.358,0,236.14,14.2,0,0,17
16/12/2006/18:55:00,2.444,0.072,240.11,10.2,0,0,0
16/12/2006/18:56:00,2.258,0.054,235.12,9.6,0,1,17
16/12/2006/18:57:00,3.412,0.056,236.94,14.4,0,0,17
